"site","date","count","treatment"
"M-7",2024-05-11,242,"mine"
"M-7",2024-05-12,138,"mine"
"M-7",2024-05-13,68,"mine"
"M-7",2024-05-14,73,"mine"
"M-7",2024-05-15,59,"mine"
"M-7",2024-05-16,238,"mine"
"M-7",2024-05-17,220,"mine"
"M-7",2024-05-18,85,"mine"
"M-7",2024-05-19,139,"mine"
"M-7",2024-05-20,110,"mine"
"M-7",2024-05-21,177,"mine"
"M-7",2024-05-22,277,"mine"
"M-7",2024-05-23,225,"mine"
"M-7",2024-05-24,163,"mine"
"M-7",2024-05-25,95,"mine"
"M-7",2024-05-26,96,"mine"
"M-7",2024-05-27,158,"mine"
"M-7",2024-05-28,68,"mine"
"M-7",2024-05-29,173,"mine"
"M-7",2024-05-30,256,"mine"
"M-7",2024-05-31,167,"mine"
"M-7",2024-06-01,334,"mine"
"M-7",2024-06-02,164,"mine"
"M-7",2024-06-03,193,"mine"
"M-7",2024-06-04,261,"mine"
"M-7",2024-06-05,142,"mine"
"M-7",2024-06-06,70,"mine"
"M-7",2024-06-07,78,"mine"
"M-7",2024-06-08,230,"mine"
"M-7",2024-06-09,97,"mine"
"M-7",2024-06-10,253,"mine"
"M-7",2024-06-11,217,"mine"
"M-7",2024-06-12,284,"mine"
"M-7",2024-06-13,121,"mine"
"M-7",2024-06-14,298,"mine"
"M-7",2024-06-15,330,"mine"
"M-7",2024-06-16,326,"mine"
"M-7",2024-06-17,323,"mine"
"M-7",2024-06-18,133,"mine"
"M-7",2024-06-19,269,"mine"
"M-7",2024-06-20,197,"mine"
"M-7",2024-06-21,120,"mine"
"M-7",2024-06-22,21,"mine"
"M-7",2024-06-23,42,"mine"
"M-7",2024-06-24,2,"mine"
"M-7",2024-06-25,83,"mine"
"M-7",2024-06-26,157,"mine"
"M-7",2024-06-27,168,"mine"
"M-7",2024-06-28,49,"mine"
"O-1",2024-03-10,0,"rx_fire_sec_growth"
"O-1",2024-03-11,3,"rx_fire_sec_growth"
"O-1",2024-03-12,0,"rx_fire_sec_growth"
"O-1",2024-03-13,0,"rx_fire_sec_growth"
"O-1",2024-03-14,1,"rx_fire_sec_growth"
"O-1",2024-03-15,0,"rx_fire_sec_growth"
"O-1",2024-03-16,3,"rx_fire_sec_growth"
"O-1",2024-03-17,0,"rx_fire_sec_growth"
"O-1",2024-03-18,1,"rx_fire_sec_growth"
"O-1",2024-03-19,3,"rx_fire_sec_growth"
"O-1",2024-03-20,0,"rx_fire_sec_growth"
"O-1",2024-03-21,0,"rx_fire_sec_growth"
"O-1",2024-03-22,0,"rx_fire_sec_growth"
"O-1",2024-03-23,0,"rx_fire_sec_growth"
"O-1",2024-03-24,3,"rx_fire_sec_growth"
"O-1",2024-03-25,0,"rx_fire_sec_growth"
"O-1",2024-03-26,1,"rx_fire_sec_growth"
"O-1",2024-03-27,0,"rx_fire_sec_growth"
"O-1",2024-03-28,0,"rx_fire_sec_growth"
"O-1",2024-03-29,0,"rx_fire_sec_growth"
"O-1",2024-03-30,0,"rx_fire_sec_growth"
"O-1",2024-03-31,0,"rx_fire_sec_growth"
"O-1",2024-04-01,0,"rx_fire_sec_growth"
"O-1",2024-04-02,0,"rx_fire_sec_growth"
"O-1",2024-04-03,0,"rx_fire_sec_growth"
"O-1",2024-04-04,0,"rx_fire_sec_growth"
"O-1",2024-04-05,0,"rx_fire_sec_growth"
"O-1",2024-04-06,1,"rx_fire_sec_growth"
"O-1",2024-04-07,0,"rx_fire_sec_growth"
"O-1",2024-04-08,0,"rx_fire_sec_growth"
"O-1",2024-04-09,2,"rx_fire_sec_growth"
"O-1",2024-04-10,0,"rx_fire_sec_growth"
"O-1",2024-04-11,0,"rx_fire_sec_growth"
"O-1",2024-04-12,0,"rx_fire_sec_growth"
"O-1",2024-04-13,1,"rx_fire_sec_growth"
"O-1",2024-04-14,1,"rx_fire_sec_growth"
"O-1",2024-04-15,21,"rx_fire_sec_growth"
"O-1",2024-04-16,3,"rx_fire_sec_growth"
"O-1",2024-04-17,1,"rx_fire_sec_growth"
"O-1",2024-04-18,5,"rx_fire_sec_growth"
"O-1",2024-04-19,2,"rx_fire_sec_growth"
"O-1",2024-04-20,7,"rx_fire_sec_growth"
"O-1",2024-04-21,5,"rx_fire_sec_growth"
"O-1",2024-04-22,7,"rx_fire_sec_growth"
